doc,topic1,topic2,topic3,topic4,topic5,topic6,catogory
210,0.295629535,0.479002303,0.015253255,0.019958826,0.176854705,0.013301376,2
211,0.429473291,0.016754284,0.022159036,0.368551133,0.030553422,0.132508834,1
212,0.506651432,0.069389925,0.016655482,0.221914959,0.01721804,0.168170162,1
213,0.243062582,0.000881968,0.346743852,0.227939096,0.114814753,0.066557749,3
214,0.217717963,0.011532874,0.015253255,0.565339828,0.176854705,0.013301376,4
215,0.871131564,0.009347936,0.075514473,0.016177567,0.017047069,0.010781391,1
216,0.743082086,0.097002025,0.016542074,0.106139926,0.022808616,0.014425272,2
217,0.080774663,0.320081822,0.019905971,0.026046888,0.535831947,0.017358709,2
218,0.551309437,0.00551611,0.007295548,0.344928294,0.047323958,0.043626653,0
219,0.34254611,0.057878572,0.009870223,0.567488609,0.013609305,0.008607182,0
220,0.262532143,0.021656735,0.028642966,0.037479212,0.185798034,0.463890911,2
221,0.478902034,0.025368217,0.033551732,0.043902314,0.389017408,0.029258294,1
222,0.941652021,0.008299671,0.010977056,0.014363437,0.015135434,0.00957238,1
223,0.116227731,0.021656735,0.613860611,0.183783623,0.039493622,0.024977676,4
224,0.108480426,0.561963796,0.300395975,0.000698332,0.000735866,0.027725605,0
225,0.101393426,0.40178679,0.024987225,0.032695689,0.162084375,0.277052497,3
226,0.882214782,0.016754284,0.022159036,0.028995015,0.030553422,0.019323461,1
227,0.854061406,0.007104618,0.009396492,0.060291287,0.060952126,0.008194072,4
228,0.650279763,0.025368217,0.033551732,0.215280044,0.04626195,0.029258294,4
229,0.284128705,0.015050758,0.019905971,0.636109015,0.027446841,0.017358709,4
230,0.310765443,0.105323174,0.161779678,0.01807323,0.402690878,0.001367597,5
231,0.628898739,0.215356453,0.110896509,0.033201287,0.007134689,0.004512323,2
232,0.370485324,0.098885467,0.006149713,0.510637355,0.008479375,0.005362766,4
233,0.217717963,0.479002303,0.015253255,0.019958826,0.254766276,0.013301376,3
234,0.089917173,0.016754284,0.022159036,0.028995015,0.030553422,0.81162107,3
235,0.350198578,0.013661679,0.294947638,0.023642944,0.301792538,0.015756623,5
236,0.302772632,0.009347936,0.075514473,0.016177567,0.017047069,0.579140323,3
237,0.236113974,0.01250734,0.016542074,0.190634612,0.445282043,0.098919957,5
238,0.336791946,0.002801646,0.079412727,0.023775363,0.516133405,0.041084913,5
239,0.207147518,0.038597836,0.311800933,0.327549382,0.070387728,0.044516602,0
240,0.050168662,0.009347936,0.51757142,0.205630544,0.206500047,0.010781391,3
241,0.302772632,0.009347936,0.01236348,0.016177567,0.648556994,0.010781391,5
242,0.268757032,0.551904799,0.085448708,0.001440508,0.029633872,0.062815081,2
243,0.207147518,0.038597836,0.051049085,0.066797534,0.591891425,0.044516602,0
244,0.324889443,0.008299671,0.010977056,0.014363437,0.631898013,0.00957238,1
245,0.080774663,0.523435864,0.019905971,0.026046888,0.332477904,0.017358709,2
246,0.414379502,0.286588232,0.103547587,0.004281316,0.188350119,0.002853244,2
247,0.139806392,0.712737018,0.015253255,0.019958826,0.098943133,0.013301376,2
248,0.821657493,0.025368217,0.033551732,0.043902314,0.04626195,0.029258294,0
249,0.073319731,0.013661679,0.11036174,0.023642944,0.763257283,0.015756623,5
250,0.162943735,0.630249501,0.00409274,0.005355335,0.131074173,0.066284515,2
251,0.323181889,0.549240989,0.013196876,0.017268062,0.085604042,0.011508141,2
252,0.207147518,0.299349685,0.311800933,0.066797534,0.070387728,0.044516602,0
253,0.821657493,0.025368217,0.033551732,0.043902314,0.04626195,0.029258294,1
254,0.457997621,0.009978061,0.350236206,0.017268062,0.018196176,0.146323874,0
255,0.894190832,0.015050758,0.019905971,0.026046888,0.027446841,0.017358709,1
